respondent_id,att0_star_rating_l0,att0_star_rating_l1,att0_star_rating_l2,att0_star_rating_l3,att1_price_band_l0,att1_price_band_l1,att1_price_band_l2,att2_location_l0,att2_location_l1,att3_amenities_l0,att3_amenities_l1,att3_amenities_l2,att4_review_score_l0,att4_review_score_l1,accept_rate
R018,0.739589,0.638099,0.364112,0.476115,0.435858,0.376397,0.346882,0.427949,0.435469,0.267893,0.256297,0.293185,0.369355,0.744963,0.1824
R019,1.045321,0.659705,0.348090,0.465928,0.322969,0.389156,0.364689,0.258020,0.312699,0.301972,0.326742,0.385659,0.661137,0.532652,0.2656
R020,0.458900,0.352294,0.281559,0.367657,0.279895,0.338951,0.291551,0.496982,0.361013,0.253566,0.305581,0.234696,0.803813,0.802492,0.2156
R021,0.561164,0.562342,0.448747,0.446508,0.315722,0.297304,0.300602,0.484611,0.543308,0.363494,0.261161,0.298448,0.845378,0.584436,0.2432
R022,0.571721,0.635632,0.328920,0.207842,0.329159,0.307525,0.275949,0.349252,0.364188,0.418643,0.320751,0.386634,1.049362,0.604450,0.2528
R023,0.934582,0.848291,0.447722,0.406250,0.279118,0.313159,0.256282,0.324949,0.386002,0.254213,0.230704,0.228834,0.462897,0.490749,0.2212
R024,0.562798,0.576570,0.480727,0.482525,0.198149,0.207086,0.213917,0.517542,0.541833,0.166083,0.368402,0.325214,0.801064,0.762721,0.2676
R025,0.606220,0.512205,0.290381,0.427170,0.347630,0.349764,0.361561,0.340638,0.424874,0.487260,0.311710,0.359337,0.305400,0.400380,0.1976
R026,0.514041,0.534761,0.266696,0.322078,0.479641,0.244785,0.351072,0.319161,0.325532,0.340345,0.304422,0.339695,0.566451,0.570967,0.2292
R027,1.032162,0.870806,0.450118,0.382642,0.308418,0.283531,0.267923,0.382195,0.512341,0.337349,0.393225,0.365961,0.992749,0.612704,0.2456
R028,0.315634,0.262694,0.204757,0.323306,0.267514,0.248396,0.192474,0.813522,0.522200,0.280604,0.421384,0.263583,0.710604,0.426507,0.2320
R029,0.547140,0.562489,0.395454,0.332395,0.238181,0.248429,0.163584,0.596420,0.559686,0.596233,0.383201,0.281098,0.337133,0.303727,0.2792
R030,0.513224,0.263933,0.288889,0.257944,0.396459,0.343151,0.274533,0.362654,0.221025,0.284174,0.258024,0.351330,0.707256,0.533395,0.2976
R031,0.621648,0.586901,0.352214,0.313646,0.286097,0.316834,0.294422,0.374213,0.402169,0.647017,0.381967,0.445054,0.635936,0.514117,0.2524
R032,0.356121,0.620051,0.380075,0.229799,0.382381,0.403522,0.340560,0.349623,0.242414,0.524823,0.322138,0.389955,0.633930,0.468151,0.1876
R033,0.925070,0.520332,0.374956,0.443632,0.382318,0.359085,0.252999,0.426858,0.711183,0.543198,0.408058,0.513386,0.676710,0.675115,0.2176
R034,0.446425,0.526007,0.342238,0.352992,0.438667,0.394343,0.305897,0.513388,0.373162,0.500563,0.275721,0.406852,0.786476,0.403848,0.1272
R035,0.732113,0.455983,0.243373,0.368448,0.149955,0.225030,0.216377,0.244900,0.238598,0.191925,0.174951,0.183044,0.524971,0.209413,0.2296
R036,0.616120,0.853265,0.447360,0.421331,0.337806,0.297695,0.374310,0.307741,0.583808,0.351607,0.231214,0.334140,0.754979,0.708713,0.2600
R037,0.728705,0.564854,0.400844,0.427493,0.237261,0.296419,0.246685,0.278134,0.278313,0.252684,0.254561,0.269397,0.831451,1.055989,0.1792
R038,0.741629,0.662747,0.293405,0.315545,0.499889,0.252221,0.251226,0.307218,0.279372,0.272392,0.260511,0.313592,0.758407,0.438084,0.2032
R039,0.385366,0.282549,0.350049,0.306969,0.437778,0.376262,0.286674,0.322523,0.511125,0.304901,0.257896,0.257520,0.605363,0.301185,0.1836
R040,0.612981,0.397041,0.280588,0.230307,0.358412,0.277923,0.213681,0.533736,0.326449,0.439149,0.345482,0.321072,0.721579,0.625362,0.2280
R041,0.724866,0.609723,0.434566,0.458639,0.268933,0.213934,0.279612,0.400578,0.349133,0.236065,0.154247,0.196071,0.445584,0.412866,0.1700
R042,0.477202,0.591119,0.264200,0.330995,0.422961,0.335043,0.275473,0.445806,0.727240,0.564411,0.542851,0.526620,0.442749,0.308137,0.2620
R043,0.909595,0.642447,0.348228,0.471149,0.256172,0.272248,0.148742,0.472413,0.352473,0.237733,0.296637,0.331769,1.078423,0.529967,0.2380
R044,0.704669,0.668791,0.430559,0.330773,0.293149,0.382075,0.343207,0.427508,0.431000,0.349671,0.275759,0.373920,0.737170,0.922514,0.2144
R045,0.702529,0.688130,0.455847,0.485474,0.369110,0.291816,0.295075,0.369396,0.529566,0.397109,0.433182,0.444654,0.798913,0.563335,0.2412
R046,0.388027,0.512295,0.333041,0.336300,0.449482,0.469854,0.365179,0.401094,0.405119,0.270056,0.380946,0.403480,0.520299,0.503849,0.2720
R047,0.286082,0.524048,0.250782,0.277261,0.372105,0.336804,0.231105,0.203690,0.262994,0.303426,0.273932,0.379970,0.622345,0.585519,0.2432
R048,1.201784,0.666349,0.350557,0.357886,0.337310,0.310972,0.248997,0.275487,0.282900,0.396138,0.307673,0.290323,0.606358,0.467682,0.1656
R049,0.441513,0.592581,0.377989,0.330526,0.262439,0.446560,0.212717,0.195490,0.348956,0.270907,0.329728,0.409130,0.832753,0.679499,0.2748
R050,0.367953,0.465930,0.275543,0.329121,0.322097,0.309835,0.239010,0.207127,0.433440,0.212163,0.218844,0.400138,0.535514,0.440517,0.2728
R051,0.557892,0.517605,0.405577,0.466157,0.365925,0.410993,0.272669,0.589575,0.611530,0.429653,0.404318,0.451055,0.479106,0.518132,0.2276
R052,0.575663,0.690903,0.380351,0.360988,0.390909,0.390186,0.355267,0.402369,0.439917,0.388262,0.404457,0.416394,0.736896,0.680370,0.2420
R053,0.533955,0.406443,0.246537,0.292536,0.215831,0.196360,0.225693,0.256865,0.332842,0.338094,0.232766,0.249632,1.084455,0.314147,0.2324
R054,0.554014,0.530788,0.435402,0.348584,0.495330,0.321452,0.334811,0.367687,0.368785,0.577804,0.447295,0.439271,0.504545,0.518852,0.2480
R055,0.354639,0.434020,0.257115,0.268027,0.200449,0.252595,0.177428,0.265085,0.366718,0.328182,0.424886,0.384170,0.541845,0.677974,0.1268
R056,0.967251,0.585969,0.446607,0.346028,0.267955,0.463929,0.306047,0.289373,0.357642,0.356924,0.307053,0.278328,0.491015,0.543098,0.3476
R057,0.743433,0.818833,0.578198,0.319555,0.274648,0.313197,0.203784,0.347778,0.380712,0.245462,0.263411,0.303354,1.002637,0.689793,0.2484
R058,0.464827,0.578901,0.360750,0.340152,0.306233,0.354887,0.238131,0.244094,0.361810,0.433641,0.489302,0.383043,0.791468,0.786153,0.2788
R059,0.576324,0.499515,0.323842,0.353603,0.240755,0.347665,0.179999,0.499147,0.721549,0.429147,0.289538,0.424916,0.745077,0.534879,0.2428
R060,0.452717,0.455399,0.361733,0.353988,0.366425,0.411341,0.222493,0.252230,0.337630,0.374479,0.271983,0.405530,0.613443,0.411304,0.1708
R061,1.090181,0.774605,0.471750,0.369673,0.253903,0.306887,0.257830,0.141147,0.288403,0.261361,0.331337,0.331120,0.617054,0.470143,0.2232
R062,0.824184,0.481748,0.357339,0.368946,0.296952,0.331818,0.273726,0.323213,0.255475,0.317925,0.436306,0.285178,0.561399,0.426499,0.1684
R063,0.697277,0.776283,0.386137,0.346657,0.245466,0.254006,0.258469,0.254591,0.268037,0.551306,0.412471,0.404540,0.808581,0.574430,0.1864
R064,0.516610,0.420436,0.265382,0.294656,0.333771,0.412665,0.304955,0.440954,0.348820,0.450388,0.464497,0.386453,0.660401,0.846852,0.1728
R065,0.541177,0.689892,0.430706,0.414633,0.407495,0.283935,0.242504,0.324998,0.747058,0.334188,0.260888,0.385462,0.591232,0.460437,0.2588
R066,0.525715,0.437989,0.399297,0.412651,0.283266,0.251952,0.221370,0.646800,0.556431,0.268682,0.339723,0.328437,0.492310,0.511604,0.2404
R067,0.653053,0.454496,0.392020,0.309652,0.459490,0.252954,0.332655,0.700367,0.557261,0.363550,0.320340,0.303013,0.590373,0.730417,0.2700
R068,0.611124,0.634758,0.368037,0.362766,0.242128,0.244783,0.174096,0.292099,0.181087,0.324967,0.234477,0.343994,0.515510,0.378665,0.2132
R069,0.946694,0.616436,0.489282,0.311455,0.329946,0.442589,0.328803,0.417010,0.358436,0.353907,0.339777,0.324371,0.668296,0.614311,0.2076
R070,0.600692,0.431700,0.324571,0.312427,0.351915,0.260021,0.214597,0.474669,0.345703,0.388789,0.267034,0.461142,0.314836,0.244100,0.2288
R071,0.678643,0.773910,0.357403,0.449382,0.383486,0.272581,0.259745,0.225098,0.420494,0.298580,0.392015,0.269798,0.593424,0.493135,0.2236
R072,0.424923,0.478279,0.310230,0.336267,0.345517,0.439341,0.360401,0.457864,0.591335,0.358120,0.493335,0.511751,0.303396,0.300426,0.2340
R073,0.459409,0.327388,0.335567,0.437969,0.526209,0.344659,0.288558,0.648971,0.479266,0.379955,0.291711,0.455400,0.377349,0.612460,0.2152
R074,0.741093,0.727973,0.532497,0.313108,0.416574,0.362546,0.264422,0.281780,0.401298,0.358459,0.311771,0.246741,0.875225,0.780226,0.2048
R075,0.403814,0.443479,0.277545,0.296424,0.483823,0.334632,0.297571,0.736545,0.577657,0.255018,0.326668,0.350292,0.507109,0.293546,0.2028
R076,0.553823,0.364657,0.300633,0.343561,0.256548,0.310750,0.232345,0.179175,0.360476,0.309743,0.256268,0.325222,0.745423,0.436970,0.2712
R077,0.721092,0.414308,0.496917,0.323792,0.489652,0.332547,0.201722,0.389565,0.205803,0.316535,0.247039,0.242238,0.711103,0.698583,0.1808
R078,0.428047,0.560911,0.394399,0.390971,0.521395,0.274188,0.326914,0.592967,0.737189,0.510178,0.271674,0.366629,0.494445,0.434793,0.1500
R079,0.680504,0.535475,0.304465,0.355851,0.368132,0.299521,0.342689,0.460564,0.294367,0.239985,0.354719,0.300175,0.559818,0.451334,0.2172
R080,0.512114,0.492256,0.337849,0.311343,0.354407,0.356479,0.342854,0.686406,0.514932,0.417894,0.390357,0.494819,0.567599,0.728488,0.1852
