respondent_id,item_id,position_row,position_col,scroll_rows_visible,response
R002,I054,5,0,9,disliked
R002,I126,0,4,9,liked
R002,I191,9,1,9,unseen
R002,I141,3,0,9,disliked
R002,I045,8,0,9,liked
R002,I109,1,0,9,disliked
R002,I105,2,2,9,neutral
R002,I092,1,3,9,liked
R002,I089,8,3,9,neutral
R002,I042,9,3,9,unseen
R002,I124,0,0,9,neutral
R002,I199,5,3,9,liked
R002,I161,2,1,9,disliked
R002,I140,5,4,9,disliked
R002,I071,6,1,9,disliked
R002,I154,6,4,9,disliked
R002,I028,8,2,9,liked
R002,I025,0,2,9,neutral
R002,I050,,,9,chosen
R003,I132,0,1,10,neutral
R003,I181,6,1,10,disliked
R003,I068,0,2,10,liked
R003,I138,4,0,10,neutral
R003,I095,7,1,10,liked
R003,I081,2,4,10,disliked
R003,I069,5,1,10,neutral
R003,I026,7,3,10,neutral
R003,I190,6,3,10,liked
R003,I020,2,2,10,neutral
R003,I169,9,4,10,neutral
R003,I166,1,1,10,neutral
R003,I150,7,2,10,liked
R003,I104,0,0,10,liked
R003,I088,8,3,10,neutral
R003,I059,4,4,10,neutral
R003,I179,9,2,10,liked
R003,I154,7,0,10,liked
R003,I159,9,1,10,disliked
R003,I152,5,0,10,neutral
R003,I010,0,4,10,disliked
R003,I063,3,3,10,disliked
R003,I055,3,4,10,neutral
R003,I094,6,4,10,disliked
R003,I041,9,3,10,disliked
R003,I023,8,0,10,liked
R003,I176,8,4,10,disliked
R003,I005,3,1,10,liked
R003,I131,4,1,10,neutral
R003,I127,7,4,10,liked
R003,I183,4,2,10,neutral
R003,I034,6,2,10,liked
R003,I066,8,1,10,liked
R003,I151,8,2,10,liked
R003,I156,0,3,10,neutral
R003,I025,1,0,10,neutral
R003,I118,5,2,10,neutral
R003,I071,2,3,10,neutral
R003,I142,3,0,10,liked
R003,I001,2,0,10,liked
R003,I013,3,2,10,disliked
R003,I029,9,0,10,neutral
R003,I109,6,0,10,liked
R003,I027,5,4,10,liked
R003,I158,4,3,10,neutral
R003,I012,1,3,10,disliked
R003,I180,1,2,10,liked
R003,I187,5,3,10,liked
R003,I146,1,4,10,liked
R003,I182,2,1,10,liked
R003,I095,,,10,chosen
R004,I106,8,2,8,unseen
R004,I128,2,2,8,disliked
R004,I118,5,2,8,disliked
R004,I030,4,4,8,neutral
R004,I187,6,2,8,neutral
R004,I083,4,3,8,liked
R004,I033,2,1,8,liked
R004,I090,7,3,8,disliked
R004,I107,6,4,8,disliked
R004,I042,9,1,8,unseen
R004,I021,1,0,8,neutral
R004,I046,1,4,8,neutral
R004,I019,3,1,8,neutral
R004,I136,2,0,8,disliked
R004,I006,6,1,8,disliked
R004,I087,2,3,8,liked
R004,I024,9,2,8,unseen
R004,I017,4,0,8,liked
R004,I105,8,1,8,unseen
R004,I148,1,1,8,disliked
R004,I039,5,3,8,disliked
R004,I141,7,2,8,liked
R004,I196,3,2,8,disliked
R004,I037,6,0,8,liked
R004,I165,2,4,8,neutral
R004,I197,7,0,8,liked
R004,I074,3,3,8,neutral
R004,I143,0,4,8,neutral
R004,I029,8,4,8,unseen
R004,I194,6,3,8,neutral
R004,I061,8,3,8,unseen
R004,I058,4,2,8,disliked
R004,I022,4,1,8,disliked
R004,I139,5,0,8,neutral
R004,I160,9,0,8,unseen
R004,I067,0,2,8,disliked
R004,I020,3,4,8,neutral
R004,I169,9,4,8,unseen
R004,I186,5,1,8,disliked
R004,I162,1,2,8,neutral
R004,I064,0,1,8,disliked
R004,I078,3,0,8,liked
R004,I062,1,3,8,liked
R004,I053,7,4,8,neutral
R004,I138,7,1,8,liked
R004,I010,9,3,8,unseen
R004,I013,5,4,8,liked
R004,I016,8,0,8,unseen
R004,I059,0,0,8,neutral
R004,I200,0,3,8,liked
R004,I083,,,8,chosen
R005,I080,3,0,10,neutral
R005,I089,8,0,10,neutral
R005,I052,2,3,10,liked
R005,I125,3,2,10,liked
R005,I004,1,3,10,disliked
R005,I106,0,1,10,disliked
R005,I155,6,4,10,neutral
R005,I101,9,0,10,liked
R005,I175,5,0,10,neutral
R005,I040,1,4,10,disliked
R005,I016,2,1,10,liked
R005,I084,6,0,10,disliked
R005,I088,5,2,10,liked
R005,I069,4,4,10,disliked
R005,I133,4,3,10,liked
R005,I079,1,1,10,disliked
R005,I193,9,4,10,disliked
R005,I173,9,3,10,neutral
R005,I150,8,3,10,liked
R005,I082,7,2,10,disliked
R005,I126,5,1,10,liked
R005,I045,6,1,10,liked
R005,I005,5,3,10,neutral
R005,I009,7,1,10,liked
R005,I081,2,2,10,neutral
R005,I160,9,1,10,liked
R005,I170,8,4,10,liked
R005,I137,7,4,10,liked
R005,I148,9,2,10,liked
R005,I039,2,4,10,neutral
R005,I153,6,3,10,liked
R005,I194,3,4,10,liked
R005,I107,5,4,10,liked
R005,I076,7,0,10,liked
R005,I154,8,2,10,disliked
R005,I164,4,2,10,neutral
R005,I195,4,0,10,liked
R005,I124,0,2,10,liked
R005,I163,1,0,10,neutral
R005,I111,4,1,10,neutral
R005,I127,0,3,10,disliked
R005,I085,6,2,10,liked
R005,I151,3,1,10,neutral
R005,I143,8,1,10,neutral
R005,I090,1,2,10,disliked
R005,I186,3,3,10,disliked
R005,I182,0,4,10,disliked
R005,I042,2,0,10,disliked
R005,I012,7,3,10,neutral
R005,I071,0,0,10,neutral
R005,I088,,,10,chosen
R006,I109,7,4,8,neutral
R006,I049,6,2,8,liked
R006,I121,8,1,8,unseen
R006,I195,5,2,8,neutral
R006,I088,4,2,8,liked
R006,I177,9,4,8,unseen
R006,I032,3,0,8,neutral
R006,I113,1,2,8,neutral
R006,I076,5,1,8,neutral
R006,I143,1,0,8,disliked
R006,I178,1,4,8,neutral
R006,I102,0,2,8,disliked
R006,I105,6,4,8,liked
R006,I003,3,1,8,neutral
R006,I063,4,1,8,neutral
R006,I070,4,0,8,liked
R006,I127,4,3,8,disliked
R006,I026,2,4,8,liked
R006,I080,9,0,8,unseen
R006,I147,2,3,8,liked
R006,I064,8,2,8,unseen
R006,I188,0,4,8,neutral
R006,I179,9,2,8,unseen
R006,I198,8,4,8,unseen
R006,I018,2,1,8,neutral
R006,I011,7,0,8,liked
R006,I152,0,0,8,disliked
R006,I162,4,4,8,disliked
R006,I054,3,3,8,liked
R006,I174,0,1,8,disliked
R006,I021,9,1,8,unseen
R006,I057,8,3,8,unseen
R006,I035,7,1,8,neutral
R006,I060,2,0,8,neutral
R006,I157,1,1,8,liked
R006,I017,5,4,8,disliked
R006,I159,0,3,8,liked
R006,I196,2,2,8,liked
R006,I033,5,0,8,disliked
R006,I037,7,2,8,neutral
R006,I042,6,3,8,neutral
R006,I024,7,3,8,liked
R006,I168,5,3,8,liked
R006,I155,6,1,8,neutral
R006,I150,1,3,8,neutral
R006,I036,6,0,8,liked
R006,I015,8,0,8,unseen
R006,I053,3,4,8,liked
R006,I199,3,2,8,neutral
R006,I005,9,3,8,unseen
R006,I036,,,8,chosen
R007,I143,1,0,4,disliked
R007,I053,9,3,4,unseen
R007,I155,7,1,4,unseen
R007,I157,7,4,4,unseen
R007,I058,7,2,4,unseen
R007,I020,5,3,4,unseen
R007,I040,2,4,4,liked
R007,I038,3,4,4,liked
R007,I007,3,2,4,liked
R007,I037,5,1,4,unseen
R007,I028,5,0,4,unseen
R007,I005,2,2,4,disliked
R007,I132,1,4,4,liked
R007,I124,5,2,4,unseen
R007,I174,4,2,4,unseen
R007,I163,1,2,4,neutral
R007,I056,2,1,4,liked
R007,I060,6,1,4,unseen
R007,I134,4,0,4,unseen
R007,I023,6,0,4,unseen
R007,I102,6,2,4,unseen
R007,I015,6,3,4,unseen
R007,I050,0,0,4,liked
R007,I033,7,0,4,unseen
R007,I149,7,3,4,unseen
R007,I054,2,0,4,disliked
R007,I096,3,0,4,neutral
R007,I068,0,4,4,neutral
R007,I095,9,4,4,unseen
R007,I074,9,0,4,unseen
R007,I179,4,1,4,unseen
R007,I048,8,1,4,unseen
R007,I131,0,1,4,disliked
R007,I073,0,2,4,liked
R007,I112,1,3,4,liked
R007,I025,9,2,4,unseen
R007,I171,6,4,4,unseen
R007,I071,8,3,4,unseen
R007,I130,3,3,4,disliked
R007,I057,1,1,4,liked
R007,I152,0,3,4,liked
R007,I013,8,2,4,unseen
R007,I087,8,0,4,unseen
R007,I031,9,1,4,unseen
R007,I082,2,3,4,liked
R007,I111,3,1,4,neutral
R007,I091,5,4,4,unseen
R007,I142,8,4,4,unseen
R007,I109,4,4,4,unseen
R007,I083,4,3,4,unseen
R007,I056,,,4,chosen
R008,I182,1,2,8,liked
R008,I087,6,2,8,disliked
R008,I093,7,0,8,neutral
R008,I162,2,1,8,disliked
R008,I132,3,1,8,liked
R008,I117,0,2,8,liked
R008,I189,5,1,8,disliked
R008,I146,1,3,8,disliked
R008,I082,2,4,8,neutral
R008,I008,2,2,8,liked
R008,I120,2,0,8,disliked
R008,I069,6,1,8,neutral
R008,I106,7,2,8,neutral
R008,I074,0,1,8,liked
R008,I063,3,3,8,liked
R008,I194,9,2,8,unseen
R008,I148,8,1,8,unseen
R008,I026,8,2,8,unseen
R008,I042,3,4,8,liked
R008,I098,0,4,8,liked
R008,I045,5,2,8,neutral
R008,I170,4,2,8,liked
R008,I181,9,0,8,unseen
R008,I109,1,0,8,disliked
R008,I192,7,3,8,neutral
R008,I029,6,3,8,disliked
R008,I028,4,1,8,liked
R008,I085,4,3,8,neutral
R008,I002,3,0,8,disliked
R008,I145,9,3,8,unseen
R008,I122,7,4,8,neutral
R008,I178,8,0,8,unseen
R008,I102,9,1,8,unseen
R008,I032,7,1,8,disliked
R008,I068,5,3,8,neutral
R008,I174,3,2,8,liked
R008,I141,5,4,8,liked
R008,I061,1,1,8,liked
R008,I064,9,4,8,unseen
R008,I135,2,3,8,liked
R008,I053,8,3,8,unseen
R008,I047,0,3,8,neutral
R008,I043,0,0,8,liked
R008,I100,5,0,8,liked
R008,I078,6,0,8,neutral
R008,I156,6,4,8,neutral
R008,I198,4,0,8,liked
R008,I034,1,4,8,disliked
R008,I159,8,4,8,unseen
R008,I009,4,4,8,liked
R008,I063,,,8,chosen
R009,I042,3,1,10,neutral
R009,I061,7,3,10,liked
R009,I122,4,3,10,disliked
R009,I133,2,3,10,disliked
R009,I200,6,1,10,liked
R009,I126,5,1,10,liked
R009,I181,0,3,10,neutral
R009,I051,4,2,10,neutral
R009,I034,5,0,10,neutral
R009,I091,7,0,10,liked
R009,I095,0,0,10,neutral
R009,I093,8,4,10,disliked
R009,I094,8,2,10,neutral
R009,I127,7,4,10,neutral
R009,I096,8,0,10,neutral
R009,I151,3,0,10,neutral
R009,I076,6,2,10,liked
R009,I176,6,0,10,disliked
R009,I025,7,2,10,disliked
R009,I184,3,3,10,liked
R009,I121,1,2,10,liked
R009,I146,1,3,10,liked
R009,I077,0,4,10,neutral
R009,I166,4,4,10,liked
R009,I014,3,2,10,liked
R009,I169,1,1,10,disliked
R009,I074,2,1,10,disliked
R009,I021,4,1,10,neutral
R009,I064,0,2,10,disliked
R009,I089,4,0,10,disliked
R009,I065,3,4,10,neutral
R009,I058,9,2,10,liked
R009,I090,8,3,10,liked
R009,I175,2,2,10,disliked
R009,I101,1,4,10,neutral
R009,I186,1,0,10,neutral
R009,I111,8,1,10,neutral
R009,I164,5,4,10,neutral
R009,I099,6,3,10,liked
R009,I162,9,0,10,disliked
R009,I182,2,4,10,neutral
R009,I019,0,1,10,neutral
R009,I020,2,0,10,liked
R009,I036,6,4,10,disliked
R009,I150,9,3,10,liked
R009,I040,9,4,10,disliked
R009,I035,5,2,10,disliked
R009,I087,7,1,10,liked
R009,I027,9,1,10,disliked
R009,I045,5,3,10,liked
R009,I150,,,10,chosen
R010,I084,5,2,4,unseen
R010,I100,1,2,4,neutral
R010,I142,6,2,4,unseen
R010,I116,3,4,4,disliked
R010,I153,7,1,4,unseen
R010,I048,2,2,4,disliked
R010,I068,9,1,4,unseen
R010,I190,3,3,4,liked
R010,I013,5,1,4,unseen
R010,I104,4,0,4,unseen
R010,I146,9,4,4,unseen
R010,I088,1,4,4,liked
R010,I175,7,4,4,unseen
R010,I051,4,4,4,unseen
R010,I077,6,0,4,unseen
R010,I065,3,0,4,neutral
R010,I046,0,2,4,disliked
R010,I060,9,0,4,unseen
R010,I140,8,4,4,unseen
R010,I073,8,0,4,unseen
R010,I097,9,2,4,unseen
R010,I134,8,3,4,unseen
R010,I123,0,0,4,neutral
R010,I189,4,2,4,unseen
R010,I028,7,3,4,unseen
R010,I080,6,4,4,unseen
R010,I038,7,0,4,unseen
R010,I107,2,1,4,liked
R010,I120,8,2,4,unseen
R010,I076,1,0,4,liked
R010,I016,6,1,4,unseen
R010,I021,4,1,4,unseen
R010,I196,0,3,4,liked
R010,I187,3,2,4,liked
R010,I050,2,3,4,disliked
R010,I182,5,0,4,unseen
R010,I033,5,4,4,unseen
R010,I165,0,1,4,neutral
R010,I139,1,1,4,neutral
R010,I113,5,3,4,unseen
R010,I129,7,2,4,unseen
R010,I193,6,3,4,unseen
R010,I053,2,4,4,neutral
R010,I090,2,0,4,liked
R010,I072,8,1,4,unseen
R010,I191,9,3,4,unseen
R010,I012,1,3,4,liked
R010,I198,0,4,4,liked
R010,I081,4,3,4,unseen
R010,I095,3,1,4,neutral
R010,I196,,,4,chosen
R011,I013,2,4,8,neutral
R011,I054,1,3,8,disliked
R011,I063,5,4,8,liked
R011,I062,9,0,8,unseen
R011,I074,1,0,8,disliked
R011,I199,1,4,8,liked
R011,I042,2,2,8,disliked
R011,I072,5,0,8,neutral
R011,I102,8,1,8,unseen
R011,I179,0,4,8,liked
R011,I094,9,1,8,unseen
R011,I134,6,3,8,neutral
R011,I056,6,4,8,liked
R011,I172,1,2,8,neutral
R011,I174,7,1,8,liked
R011,I200,2,1,8,liked
R011,I064,3,0,8,neutral
R011,I033,3,2,8,neutral
R011,I082,4,0,8,liked
R011,I059,5,2,8,neutral
R011,I081,8,2,8,unseen
R011,I086,6,0,8,liked
R011,I079,1,1,8,liked
R011,I117,6,1,8,liked
R011,I130,4,2,8,neutral
R011,I126,3,1,8,liked
R011,I025,8,0,8,unseen
R011,I184,7,0,8,liked
R011,I011,0,1,8,disliked
R011,I002,7,3,8,neutral
R011,I141,9,3,8,unseen
R011,I038,9,2,8,unseen
R011,I093,7,2,8,liked
R011,I180,2,0,8,disliked
R011,I118,4,4,8,neutral
R011,I165,3,3,8,liked
R011,I160,8,4,8,unseen
R011,I105,2,3,8,liked
R011,I100,8,3,8,unseen
R011,I083,9,4,8,unseen
R011,I047,7,4,8,liked
R011,I078,6,2,8,liked
R011,I049,0,0,8,liked
R011,I138,3,4,8,disliked
R011,I067,4,1,8,neutral
R011,I095,5,3,8,liked
R011,I021,5,1,8,neutral
R011,I119,4,3,8,neutral
R011,I168,0,3,8,neutral
R011,I037,0,2,8,liked
R011,I105,,,8,chosen
R012,I152,6,4,10,neutral
R012,I125,2,1,10,liked
R012,I143,1,4,10,liked
R012,I075,8,1,10,disliked
R012,I179,5,2,10,liked
R012,I121,9,3,10,neutral
R012,I173,6,0,10,neutral
R012,I029,5,0,10,neutral
R012,I113,7,2,10,disliked
R012,I193,2,3,10,neutral
R012,I012,8,3,10,neutral
R012,I031,4,3,10,disliked
R012,I155,0,0,10,liked
R012,I120,9,0,10,disliked
R012,I136,5,3,10,liked
R012,I011,6,2,10,liked
R012,I134,4,0,10,disliked
R012,I115,3,2,10,liked
R012,I184,5,4,10,liked
R012,I050,8,4,10,disliked
R012,I042,6,1,10,liked
R012,I159,8,0,10,neutral
R012,I030,9,4,10,liked
R012,I127,3,4,10,neutral
R012,I032,3,1,10,neutral
R012,I048,6,3,10,disliked
R012,I009,7,3,10,neutral
R012,I147,0,1,10,liked
R012,I071,1,3,10,disliked
R012,I146,1,2,10,liked
R012,I037,4,1,10,disliked
R012,I085,5,1,10,liked
R012,I118,0,2,10,disliked
R012,I066,1,1,10,liked
R012,I175,4,4,10,neutral
R012,I167,2,0,10,liked
R012,I104,3,3,10,liked
R012,I082,2,2,10,liked
R012,I023,1,0,10,liked
R012,I015,2,4,10,disliked
R012,I065,7,4,10,neutral
R012,I074,0,3,10,neutral
R012,I058,9,1,10,liked
R012,I132,0,4,10,liked
R012,I090,3,0,10,liked
R012,I057,4,2,10,neutral
R012,I046,7,1,10,neutral
R012,I033,8,2,10,disliked
R012,I068,9,2,10,neutral
R012,I183,7,0,10,disliked
R012,I082,,,10,chosen
R013,I001,1,2,10,liked
R013,I051,4,4,10,disliked
R013,I104,1,0,10,liked
R013,I078,5,4,10,liked
R013,I054,8,1,10,liked
R013,I007,5,1,10,neutral
R013,I069,4,1,10,neutral
R013,I101,7,2,10,neutral
R013,I084,0,0,10,disliked
R013,I099,3,3,10,disliked
R013,I159,7,4,10,disliked
R013,I025,0,1,10,neutral
R013,I175,4,2,10,neutral
R013,I165,2,3,10,liked
R013,I059,4,0,10,neutral
R013,I162,2,0,10,disliked
R013,I077,7,0,10,neutral
R013,I092,9,3,10,liked
R013,I105,3,0,10,neutral
R013,I082,8,3,10,neutral
R013,I032,3,1,10,disliked
R013,I118,5,0,10,disliked
R013,I150,1,1,10,disliked
R013,I177,5,2,10,neutral
R013,I100,1,3,10,neutral
R013,I056,2,1,10,neutral
R013,I031,6,3,10,neutral
R013,I132,6,4,10,neutral
R013,I144,6,1,10,liked
R013,I125,0,4,10,liked
R013,I060,9,1,10,neutral
R013,I030,6,0,10,liked
R013,I073,3,4,10,neutral
R013,I022,6,2,10,neutral
R013,I190,2,2,10,neutral
R013,I090,7,3,10,liked
R013,I164,9,0,10,neutral
R013,I198,0,2,10,disliked
R013,I199,5,3,10,liked
R013,I003,3,2,10,neutral
R013,I170,8,4,10,disliked
R013,I167,2,4,10,disliked
R013,I047,8,2,10,neutral
R013,I111,0,3,10,neutral
R013,I004,9,4,10,disliked
R013,I071,7,1,10,disliked
R013,I029,8,0,10,neutral
R013,I149,9,2,10,liked
R013,I122,1,4,10,disliked
R013,I143,4,3,10,neutral
R013,I165,,,10,chosen
R014,I158,4,0,10,liked
R014,I079,3,1,10,neutral
R014,I036,1,0,10,neutral
R014,I012,8,4,10,disliked
R014,I126,7,3,10,disliked
R014,I157,7,2,10,disliked
R014,I049,6,1,10,disliked
R014,I057,3,3,10,disliked
R014,I109,6,4,10,neutral
R014,I175,8,1,10,neutral
R014,I168,3,4,10,disliked
R014,I093,1,1,10,disliked
R014,I136,9,3,10,liked
R014,I034,5,0,10,disliked
R014,I051,2,4,10,liked
R014,I019,2,2,10,disliked
R014,I128,0,0,10,neutral
R014,I055,0,3,10,liked
R014,I107,9,2,10,neutral
R014,I110,5,4,10,disliked
R014,I134,6,0,10,liked
R014,I115,7,4,10,disliked
R014,I149,1,2,10,neutral
R014,I104,8,0,10,neutral
R014,I197,0,4,10,disliked
R014,I025,2,0,10,neutral
R014,I023,9,0,10,neutral
R014,I006,4,3,10,neutral
R014,I098,3,2,10,liked
R014,I155,5,2,10,neutral
R014,I014,4,2,10,disliked
R014,I108,7,0,10,disliked
R014,I039,6,2,10,liked
R014,I164,9,1,10,disliked
R014,I042,3,0,10,neutral
R014,I172,2,3,10,neutral
R014,I076,8,2,10,liked
R014,I130,4,4,10,disliked
R014,I192,5,3,10,disliked
R014,I024,6,3,10,liked
R014,I193,4,1,10,neutral
R014,I073,0,2,10,disliked
R014,I094,2,1,10,neutral
R014,I066,8,3,10,liked
R014,I185,1,3,10,disliked
R014,I141,5,1,10,liked
R014,I044,1,4,10,neutral
R014,I111,7,1,10,neutral
R014,I116,0,1,10,disliked
R014,I087,9,4,10,liked
R014,I024,,,10,chosen
R015,I098,2,3,10,liked
R015,I055,9,1,10,liked
R015,I157,0,0,10,disliked
R015,I081,8,0,10,neutral
R015,I035,2,2,10,liked
R015,I025,9,3,10,neutral
R015,I045,6,4,10,liked
R015,I079,0,3,10,liked
R015,I194,1,0,10,liked
R015,I043,8,2,10,disliked
R015,I142,5,2,10,liked
R015,I099,0,1,10,neutral
R015,I072,8,3,10,neutral
R015,I068,6,3,10,disliked
R015,I133,9,2,10,liked
R015,I110,4,0,10,disliked
R015,I160,2,0,10,liked
R015,I091,1,2,10,neutral
R015,I007,7,2,10,disliked
R015,I196,4,3,10,liked
R015,I089,9,0,10,disliked
R015,I177,2,4,10,neutral
R015,I175,5,0,10,disliked
R015,I090,3,0,10,neutral
R015,I019,9,4,10,liked
R015,I101,3,3,10,neutral
R015,I154,3,1,10,liked
R015,I024,2,1,10,liked
R015,I027,7,0,10,neutral
R015,I108,5,1,10,liked
R015,I144,8,1,10,neutral
R015,I084,8,4,10,neutral
R015,I087,7,3,10,liked
R015,I036,3,4,10,liked
R015,I121,5,3,10,neutral
R015,I140,1,1,10,liked
R015,I192,4,4,10,liked
R015,I014,6,2,10,liked
R015,I105,0,4,10,liked
R015,I165,4,1,10,liked
R015,I111,0,2,10,neutral
R015,I042,3,2,10,neutral
R015,I188,4,2,10,neutral
R015,I151,1,4,10,neutral
R015,I172,1,3,10,neutral
R015,I149,6,1,10,neutral
R015,I130,6,0,10,disliked
R015,I135,5,4,10,neutral
R015,I021,7,4,10,neutral
R015,I136,7,1,10,neutral
R015,I196,,,10,chosen
R016,I105,3,3,9,disliked
R016,I048,0,4,9,disliked
R016,I037,8,2,9,neutral
R016,I056,2,0,9,liked
R016,I083,5,4,9,liked
R016,I004,1,1,9,neutral
R016,I192,2,4,9,neutral
R016,I009,7,0,9,neutral
R016,I096,4,3,9,disliked
R016,I107,9,2,9,unseen
R016,I150,6,4,9,neutral
R016,I108,3,2,9,disliked
R016,I115,2,1,9,liked
R016,I028,9,3,9,unseen
R016,I194,8,1,9,neutral
R016,I067,9,1,9,unseen
R016,I001,0,1,9,disliked
R016,I053,0,0,9,liked
R016,I180,1,3,9,neutral
R016,I043,2,3,9,liked
R016,I131,4,1,9,neutral
R016,I124,3,4,9,liked
R016,I071,0,2,9,liked
R016,I087,0,3,9,disliked
R016,I046,1,2,9,disliked
R016,I176,3,0,9,neutral
R016,I109,6,2,9,liked
R016,I085,1,4,9,neutral
R016,I136,8,0,9,liked
R016,I072,3,1,9,neutral
R016,I119,5,1,9,disliked
R016,I161,5,0,9,neutral
R016,I063,8,4,9,neutral
R016,I184,4,0,9,neutral
R016,I006,9,4,9,unseen
R016,I183,4,4,9,liked
R016,I140,6,0,9,liked
R016,I174,9,0,9,unseen
R016,I195,7,2,9,neutral
R016,I135,4,2,9,liked
R016,I130,7,4,9,liked
R016,I193,8,3,9,neutral
R016,I171,6,1,9,neutral
R016,I143,7,3,9,neutral
R016,I182,7,1,9,neutral
R016,I025,6,3,9,disliked
R016,I012,1,0,9,liked
R016,I188,2,2,9,liked
R016,I186,5,3,9,disliked
R016,I034,5,2,9,liked
R016,I109,,,9,chosen
R017,I164,0,4,5,neutral
R017,I070,4,0,5,liked
R017,I060,7,1,5,unseen
R017,I050,6,3,5,unseen
R017,I026,6,0,5,unseen
R017,I116,3,1,5,liked
R017,I009,4,1,5,liked
R017,I024,0,3,5,liked
R017,I150,5,1,5,unseen
R017,I035,1,2,5,liked
R017,I047,7,0,5,unseen
R017,I036,5,2,5,unseen
R017,I113,2,4,5,neutral
R017,I006,2,3,5,liked
R017,I003,5,4,5,unseen
R017,I108,1,0,5,liked
R017,I091,2,2,5,neutral
R017,I088,7,2,5,unseen
R017,I057,4,2,5,disliked
R017,I199,6,2,5,unseen
R017,I156,8,4,5,unseen
R017,I032,4,4,5,neutral
R017,I117,6,1,5,unseen
R017,I106,2,0,5,neutral
R017,I020,9,0,5,unseen
R017,I101,1,3,5,liked
R017,I001,9,2,5,unseen
R017,I055,3,2,5,disliked
R017,I109,6,4,5,unseen
R017,I100,3,0,5,liked
R017,I196,1,4,5,liked
R017,I184,8,0,5,unseen
R017,I053,7,4,5,unseen
R017,I064,0,2,5,neutral
R017,I112,5,3,5,unseen
R017,I153,8,2,5,unseen
R017,I194,3,4,5,liked
R017,I075,0,1,5,liked
R017,I176,9,1,5,unseen
R017,I185,0,0,5,neutral
R017,I089,2,1,5,liked
R017,I127,7,3,5,unseen
R017,I157,3,3,5,disliked
R017,I042,9,3,5,unseen
R017,I049,8,1,5,unseen
R017,I045,9,4,5,unseen
R017,I027,1,1,5,liked
R017,I043,5,0,5,unseen
R017,I119,8,3,5,unseen
R017,I041,4,3,5,liked
R017,I101,,,5,chosen
R018,I026,6,4,6,unseen
R018,I166,4,3,6,disliked
R018,I131,3,4,6,liked
R018,I173,9,2,6,unseen
R018,I185,3,3,6,neutral
R018,I170,4,2,6,liked
R018,I186,4,4,6,disliked
R018,I002,8,2,6,unseen
R018,I106,5,4,6,disliked
R018,I071,1,3,6,liked
R018,I184,8,1,6,unseen
R018,I100,3,2,6,liked
R018,I139,0,4,6,neutral
R018,I019,2,4,6,disliked
R018,I043,3,1,6,disliked
R018,I103,0,1,6,neutral
R018,I152,6,1,6,unseen
R018,I077,8,0,6,unseen
R018,I055,1,2,6,liked
R018,I062,9,0,6,unseen
R018,I149,7,4,6,unseen
R018,I153,1,1,6,liked
R018,I150,6,0,6,unseen
