respondent_id,att0_star_rating_l0,att0_star_rating_l1,att0_star_rating_l2,att0_star_rating_l3,att1_price_band_l0,att1_price_band_l1,att1_price_band_l2,att2_location_l0,att2_location_l1,att3_amenities_l0,att3_amenities_l1,att3_amenities_l2,att4_review_score_l0,att4_review_score_l1,accept_rate
R032,0.193919,0.139319,-0.161985,0.325560,-1.498706,-0.452386,-0.104856,-0.090253,-0.369701,0.829430,0.362275,0.060360,1.404248,0.113176,0.3192
R033,0.128744,0.552852,-0.126679,0.046020,-0.213299,-0.346717,0.606468,1.203260,0.014643,0.243172,0.314374,-0.498593,0.968579,0.103878,0.3516
R034,0.088733,-0.017170,0.018557,0.575753,0.354772,0.126555,0.539441,1.027936,0.101711,1.130785,-0.235944,-0.214955,0.503291,0.534868,0.3096
R035,0.224273,0.322754,-0.191506,0.009088,0.158701,0.478982,0.068796,0.480915,0.781826,0.669980,0.725351,-0.454748,1.309946,-0.035932,0.2752
R036,0.273782,0.444706,-0.180734,-0.339722,1.243138,-0.167144,-0.027382,1.331349,-0.470203,0.657849,0.008574,-0.197936,0.508006,0.585889,0.3064
R037,0.095654,0.077796,-0.089761,0.804019,-0.752348,-0.563270,-0.108413,1.303739,-0.069669,0.595218,-0.053290,0.614859,1.719786,-0.003047,0.3128
R038,0.000087,0.588835,-0.084232,-0.288498,0.436671,-0.969243,-0.063304,-0.296802,-0.672839,0.488712,0.093197,1.069809,1.217093,0.314169,0.3240
R039,-0.028761,-0.046275,-0.392312,-0.373056,-0.211218,0.652001,0.078164,1.716466,-0.412472,0.865402,0.083947,0.150188,1.250739,0.118717,0.2508
R040,0.482926,0.083206,-0.061944,0.158194,1.078919,-0.299265,0.034017,1.679135,0.406294,0.878148,0.049980,-0.654677,1.431441,0.088705,0.2788
R041,0.508439,-0.122131,0.007219,0.055147,-0.990916,-0.769861,-0.250247,1.423793,0.254112,0.259397,-0.314894,-0.593303,1.390219,0.168585,0.2920
R042,0.290943,0.126538,-0.009120,0.970639,0.724405,-0.799877,0.027100,0.962757,-0.162436,0.857621,0.004983,-0.401141,-0.095292,-0.280837,0.2980
R043,0.457955,0.107093,-0.066990,0.048734,-0.255319,0.618970,0.553160,1.181741,-0.043976,1.283790,-0.164076,-0.075667,0.461963,0.635605,0.2940
R044,0.348120,-0.083995,-0.251121,0.915641,0.347426,0.489129,-0.029358,0.523825,0.885570,0.125867,-0.560224,-0.554456,0.534177,0.557924,0.2992
R045,0.228764,0.150103,0.242193,0.057526,-0.987941,-0.405166,-0.300449,0.390805,0.988951,0.456877,0.071688,-0.146098,1.038229,0.236867,0.2868
R046,0.194024,0.468242,-0.056003,0.335022,0.790140,0.093668,-0.020030,0.777668,-0.270358,0.123682,-0.475396,-0.776011,0.841680,0.187342,0.2900
R047,-0.102186,-0.333043,-0.297806,-0.565732,1.257347,0.037304,0.138295,1.172409,-0.095745,0.153362,-0.221842,-1.029037,1.013922,-0.127314,0.3320
R048,-0.018084,0.494344,-0.041183,0.295103,0.511119,-0.551923,0.122205,0.982843,-0.094083,0.368672,-0.720044,-0.812634,1.041971,0.229155,0.3348
R049,0.125242,0.356094,-0.041052,0.012619,-0.838663,-1.137124,-0.031603,0.601988,0.385594,1.093891,0.092564,-0.267978,0.919742,0.309669,0.3076
R050,-0.275480,-0.453999,-0.537718,-0.513945,-0.203963,0.519965,0.236092,-0.191552,-0.388399,0.544471,0.107477,0.759227,0.754715,0.752024,0.2720
R051,-0.051324,-0.044080,-0.083858,1.057787,-1.322066,-1.133745,-0.129272,0.058471,0.260856,0.167037,0.489859,-0.144262,0.696318,0.431515,0.3164
R052,0.109289,-0.043678,-0.140906,0.465111,-0.926120,0.266092,0.343035,1.584529,-0.167460,0.532036,-0.049511,-0.013761,1.299426,-0.056511,0.3628
R053,-0.017885,0.075063,0.017776,1.503624,-0.481737,0.905172,0.234984,-0.258372,-0.287858,0.622202,0.878614,-0.531520,1.264581,0.076567,0.3488
R054,0.076407,0.034896,0.277375,0.596987,0.781798,-0.108363,0.076424,1.187457,0.140237,0.872379,-0.347737,-0.074465,1.143377,0.162501,0.3480
R055,0.246420,0.173764,0.350730,0.086930,0.333202,0.937679,0.193620,0.754035,0.234923,0.163435,-0.801768,-0.603662,0.629601,0.508454,0.2420
R056,0.451530,0.072725,-0.219441,0.186696,0.475739,0.935208,0.008020,0.987564,-0.165872,0.371619,0.793768,0.101286,0.909632,0.575369,0.3224
R057,0.063890,-0.321869,0.403585,-0.154020,-0.051017,0.081044,0.340427,0.969275,-0.055225,0.388529,0.564834,0.320553,1.269045,0.089558,0.3316
R058,0.349134,-0.037619,-0.014352,1.072697,0.314635,0.220298,0.271723,0.811372,0.200473,0.989042,-0.102531,-0.555866,0.500785,0.551715,0.2788
R059,0.529934,0.098156,-0.136121,0.230261,-0.727534,-1.153213,-0.131943,1.456791,-0.478752,0.292005,0.775437,-0.781371,0.813740,0.586419,0.2868
R060,0.249620,0.095925,0.004264,0.950277,-0.757874,-0.708155,-0.086359,0.361676,0.290941,0.462633,0.093278,-0.178911,1.152068,0.464866,0.2440
R061,0.441142,-0.136484,-0.131895,0.205505,-0.135963,-0.020655,0.482065,-0.296775,-0.425803,0.980657,-0.228989,-0.120858,0.701045,0.596826,0.3176
R062,-0.187162,0.135905,0.027377,0.307413,-0.471066,-0.829517,0.480207,1.704382,0.189574,0.827573,-0.022350,0.070019,1.436223,0.211979,0.3012
R063,0.090819,0.239141,-0.029821,0.507733,1.682506,-0.375625,0.073550,-0.268611,-0.060763,0.427176,-0.058565,0.518720,0.923639,-0.156748,0.3008
R064,0.762114,0.143757,-0.178847,0.533884,-0.765710,-0.952487,-0.217175,1.142098,-0.546495,0.386377,0.096841,-0.397512,0.602146,0.567460,0.2964
R065,0.747568,0.042846,-0.153629,0.163457,-0.896082,-0.057478,0.320078,1.063888,-0.657784,0.658755,0.518154,-0.258547,0.704552,0.566137,0.3548
R066,0.325825,0.122677,-0.073473,0.126417,0.913257,0.753140,0.123870,0.588400,-0.343062,0.321062,-0.299759,-1.105522,0.945278,0.670532,0.3260
R067,-0.159006,-0.091972,-0.469360,-0.570640,-0.274442,0.016987,0.415199,0.530648,0.061212,0.703943,0.449825,0.214639,0.803208,0.522510,0.2464
R068,0.161177,0.192239,-0.083824,0.876415,-0.216113,1.182504,0.075935,1.217389,0.167220,0.701677,0.553694,0.182766,1.356252,0.433614,0.3248
R069,0.110677,0.210779,-0.156656,1.284528,-0.275635,-0.703348,0.416856,0.871147,0.342552,0.870113,-0.017495,-0.114916,0.692176,0.528347,0.3480
R070,0.134789,-0.079440,0.174438,1.102651,-0.887305,-0.966579,-0.305696,0.882719,0.074130,0.375622,-0.190544,0.431049,0.234844,-0.016300,0.2700
R071,0.065579,-0.055458,0.403420,-0.058406,1.384007,0.512971,-0.141762,-0.036667,-0.459001,0.678520,-0.131537,0.794501,1.118077,0.064312,0.3384
R072,0.052626,0.022341,-0.122443,0.792912,1.382025,-0.394984,0.131922,0.259004,0.614011,0.501597,0.349835,-0.062940,0.900264,0.586648,0.3364
R073,0.204768,0.114925,0.292054,0.514426,1.362169,-0.138603,-0.016716,0.534547,0.175631,0.801777,0.186244,-0.121016,1.446525,0.007663,0.3372
R074,0.052069,-0.168731,0.408435,0.159520,0.268795,-0.100003,0.616869,1.063319,0.271470,0.525023,-0.141361,1.083576,0.491237,0.406517,0.3280
R075,0.663652,0.079825,-0.130840,0.103866,0.653901,-0.767553,0.274922,0.937041,0.034359,0.337962,-0.079467,0.866496,1.303214,0.727371,0.2712
R076,0.368989,-0.175095,0.089416,-0.026333,-1.241599,-1.222072,-0.143353,0.372516,0.653394,0.214713,-0.701056,-0.821124,1.070266,-0.031663,0.2904
R077,0.130552,0.163216,0.139579,0.949549,-0.496586,-0.215209,0.576315,1.252523,0.066078,0.864596,-0.009822,0.482250,0.562556,0.888228,0.2780
R078,-0.114429,-0.484942,-0.352342,-0.723553,0.976438,-0.352321,0.006387,0.366456,0.913146,0.792959,-0.188724,-0.162604,0.581855,-0.154108,0.2972
R079,0.508843,0.057917,-0.020235,0.010560,0.419666,-0.080547,0.443541,0.291706,0.858965,0.319912,-0.720234,-0.886818,0.172578,-0.379054,0.2900
R080,0.186575,-0.104977,0.051902,1.153634,0.383386,-0.014602,0.410939,1.168011,-0.213410,1.106818,-0.189508,-0.042668,0.916527,0.405188,0.3660
