respondent_id,att0_star_rating_l0,att0_star_rating_l1,att0_star_rating_l2,att0_star_rating_l3,att1_price_band_l0,att1_price_band_l1,att1_price_band_l2,att2_location_l0,att2_location_l1,att3_amenities_l0,att3_amenities_l1,att3_amenities_l2,att4_review_score_l0,att4_review_score_l1,accept_rate
R018,0.358496,0.377558,0.265017,0.313760,0.311258,0.309433,0.465061,0.257866,0.230054,0.323446,0.332495,0.343968,0.238675,0.199215,0.2256
R019,0.460137,0.409398,0.303683,0.341026,0.293217,0.389685,0.408544,0.272238,0.282892,0.295526,0.310194,0.279787,0.354832,0.286617,0.1888
R020,0.363238,0.301950,0.284115,0.283508,0.450123,0.618005,0.339178,0.356403,0.305487,0.316977,0.343489,0.345184,0.321360,0.249256,0.2248
R021,0.307646,0.282222,0.233535,0.226166,0.330815,0.495847,0.326162,0.238797,0.320379,0.468093,0.280100,0.343634,0.279343,0.272631,0.1924
R022,0.286899,0.267727,0.296762,0.301529,0.558388,0.760817,0.390362,0.441682,0.299497,0.274905,0.298529,0.404322,0.278570,0.281002,0.2512
R023,0.266586,0.311855,0.243411,0.331673,0.399583,0.359550,0.346721,0.250603,0.233612,0.374753,0.302150,0.350331,0.427998,0.329159,0.1720
R024,0.506955,0.319698,0.270400,0.316965,0.334824,0.410438,0.344213,0.167366,0.288400,0.396651,0.205482,0.239542,0.342478,0.188648,0.2544
R025,0.484905,0.362879,0.320570,0.408094,0.404970,0.632962,0.310325,0.255814,0.307473,0.283748,0.306957,0.306561,0.479042,0.341528,0.2544
R026,0.316558,0.271252,0.314207,0.358446,0.490867,0.596631,0.397339,0.315020,0.276950,0.336017,0.281157,0.278038,0.354520,0.207769,0.2216
R027,0.372149,0.338328,0.293490,0.353089,0.439466,0.471785,0.357009,0.310859,0.284012,0.293712,0.307412,0.279347,0.281626,0.192615,0.2320
R028,0.270326,0.279895,0.291896,0.348415,0.378136,0.553949,0.487517,0.320028,0.282364,0.359725,0.277993,0.363732,0.246362,0.251930,0.2148
R029,0.276691,0.213073,0.194350,0.279644,0.210077,0.335533,0.338563,0.581608,0.394863,0.209952,0.194680,0.234352,0.300235,0.306915,0.2180
R030,0.228945,0.300943,0.284660,0.314477,0.255890,0.338796,0.402068,0.349974,0.309457,0.285031,0.229100,0.233113,0.412261,0.350491,0.2272
R031,0.445155,0.387965,0.352059,0.351029,0.440988,0.584265,0.282835,0.301724,0.313655,0.182404,0.209211,0.227089,0.363764,0.244342,0.2436
R032,0.373207,0.282405,0.229038,0.291102,0.397960,0.462512,0.338701,0.216900,0.276070,0.386922,0.363471,0.289164,0.301855,0.159525,0.2068
R033,0.404376,0.262179,0.283922,0.366076,0.298063,0.370725,0.264035,0.281664,0.325963,0.258897,0.264482,0.232671,0.366556,0.281530,0.2628
R034,0.305375,0.262469,0.249459,0.258496,0.335528,0.334173,0.324395,0.332142,0.353051,0.254129,0.206038,0.241597,0.216964,0.210346,0.2060
R035,0.224323,0.197247,0.238155,0.214753,0.720544,0.675189,0.444444,0.390198,0.218362,0.408333,0.537892,0.420491,0.452261,0.351216,0.2364
R036,0.442881,0.287380,0.277638,0.368207,0.318595,0.355752,0.317233,0.331041,0.212206,0.356757,0.293384,0.317728,0.275968,0.245734,0.2616
R037,0.373061,0.285274,0.297083,0.482662,0.438422,0.530939,0.406069,0.468213,0.504229,0.376315,0.293703,0.407978,0.247092,0.159729,0.2204
R038,0.277369,0.342973,0.188537,0.257968,0.327939,0.593311,0.346154,0.172851,0.206664,0.199191,0.364494,0.210284,0.252127,0.182645,0.2832
R039,0.374907,0.299599,0.331155,0.342129,0.394605,0.700730,0.500623,0.359911,0.385691,0.266887,0.235705,0.269055,0.297297,0.304900,0.1860
R040,0.342512,0.314920,0.339621,0.309786,0.483443,0.565639,0.453313,0.294105,0.392102,0.271781,0.350824,0.331154,0.248265,0.251545,0.2176
R041,0.303813,0.335514,0.276481,0.307374,0.527725,0.557887,0.286607,0.223158,0.297091,0.254215,0.272917,0.349690,0.334991,0.281586,0.1896
R042,0.228848,0.289575,0.246886,0.226125,0.504953,0.504586,0.407260,0.379232,0.304089,0.223434,0.212105,0.258523,0.161367,0.219445,0.2564
R043,0.297486,0.303059,0.293438,0.290831,0.265942,0.367294,0.239978,0.274747,0.325699,0.258559,0.207458,0.321586,0.288712,0.267751,0.2796
R044,0.333121,0.281741,0.274412,0.295776,0.299267,0.551806,0.355196,0.340088,0.438060,0.194426,0.231058,0.204942,0.240184,0.238214,0.2080
R045,0.417707,0.388736,0.313236,0.364269,0.413477,0.517841,0.364860,0.262304,0.314097,0.272147,0.216475,0.285043,0.313298,0.366604,0.3324
R046,0.422916,0.274800,0.267679,0.287499,0.341562,0.427408,0.330005,0.411391,0.414564,0.419568,0.344438,0.359141,0.369659,0.298918,0.2048
R047,0.430412,0.283195,0.389544,0.320845,0.322533,0.637584,0.487608,0.317596,0.269333,0.253821,0.345930,0.249073,0.347347,0.224296,0.1812
R048,0.423751,0.351790,0.332284,0.334635,0.392334,0.418883,0.310868,0.364460,0.446527,0.342691,0.317103,0.390662,0.358655,0.290217,0.2292
R049,0.368181,0.293381,0.254706,0.271121,0.530644,0.352791,0.543958,0.375009,0.274184,0.297388,0.299006,0.247238,0.457220,0.278815,0.2520
R050,0.406315,0.209670,0.288389,0.288428,0.514350,0.925232,0.422751,0.345900,0.435595,0.223781,0.309609,0.298658,0.198585,0.267258,0.2148
R051,0.240916,0.282007,0.251033,0.270051,0.407887,0.537016,0.263695,0.382258,0.323782,0.254211,0.301611,0.250686,0.392857,0.276625,0.2188
R052,0.329971,0.263215,0.265376,0.307877,0.443831,0.505445,0.505245,0.305527,0.345989,0.357068,0.234296,0.280067,0.297325,0.283373,0.2212
R053,0.269836,0.263144,0.266338,0.328537,0.388757,0.646997,0.435150,0.266583,0.277334,0.352634,0.323695,0.312590,0.271508,0.267726,0.2172
R054,0.448167,0.234767,0.228595,0.261814,0.313436,0.547772,0.364543,0.297643,0.386048,0.157842,0.141674,0.174307,0.313182,0.245310,0.2092
R055,0.356648,0.255126,0.199216,0.227680,0.591321,0.422954,0.507494,0.327560,0.335581,0.335327,0.219628,0.266432,0.403956,0.367439,0.2520
R056,0.359459,0.416527,0.317192,0.395291,0.317350,0.299614,0.324554,0.363357,0.279740,0.315635,0.329613,0.403138,0.372634,0.239910,0.2368
R057,0.380424,0.330978,0.254584,0.396206,0.379001,0.407502,0.312252,0.288803,0.283488,0.252219,0.279153,0.349467,0.245913,0.201864,0.2460
R058,0.345608,0.361535,0.350357,0.331831,0.539589,0.547341,0.318532,0.394968,0.263623,0.280538,0.257499,0.225644,0.345650,0.242561,0.3064
R059,0.296595,0.259587,0.305491,0.281278,0.683097,0.333067,0.395843,0.562883,0.337703,0.253690,0.200844,0.267011,0.256344,0.254270,0.1936
R060,0.398521,0.327920,0.332322,0.394627,0.450093,0.542579,0.466223,0.292119,0.390110,0.376366,0.362198,0.298973,0.373200,0.240193,0.1992
R061,0.223454,0.275252,0.233066,0.363896,0.490930,0.468974,0.294819,0.440732,0.405070,0.269363,0.331320,0.239049,0.314116,0.336334,0.2516
R062,0.307023,0.372307,0.329994,0.403084,0.423496,0.397886,0.351510,0.265226,0.352488,0.366738,0.317250,0.370104,0.368199,0.274331,0.2228
R063,0.344030,0.312149,0.271124,0.247912,0.475106,0.464556,0.362066,0.329958,0.362171,0.335368,0.261547,0.370364,0.370062,0.286847,0.2352
R064,0.361842,0.342840,0.287914,0.313138,0.401753,0.369573,0.472864,0.352608,0.390127,0.275937,0.276334,0.304121,0.258313,0.243528,0.1820
R065,0.334521,0.257456,0.315157,0.293825,0.275870,0.469772,0.526885,0.439120,0.300552,0.301703,0.219293,0.230431,0.478489,0.328413,0.1880
R066,0.367027,0.399170,0.296974,0.378310,0.471310,0.416447,0.347282,0.430085,0.339394,0.300484,0.241108,0.278853,0.398886,0.304362,0.2404
R067,0.384058,0.311526,0.285903,0.297858,0.413779,0.682601,0.302866,0.397524,0.357854,0.341097,0.357843,0.380164,0.341311,0.274774,0.1808
R068,0.312351,0.335326,0.348761,0.364662,0.627209,0.581976,0.372169,0.301409,0.421624,0.355374,0.396192,0.316573,0.327297,0.302474,0.2280
R069,0.396066,0.334095,0.229770,0.317806,0.356519,0.509910,0.282627,0.311047,0.374759,0.236352,0.211625,0.281327,0.411067,0.213897,0.2160
R070,0.244525,0.213686,0.174846,0.301411,0.366655,0.510543,0.440266,0.352121,0.407069,0.400615,0.383953,0.252158,0.245681,0.264104,0.2488
R071,0.247444,0.214797,0.214631,0.208252,0.380432,0.618367,0.426936,0.541749,0.432489,0.416901,0.422281,0.503138,0.258063,0.264108,0.1564
R072,0.498790,0.378899,0.359239,0.308512,0.314498,0.356824,0.303091,0.443601,0.360717,0.284482,0.224064,0.252488,0.416394,0.336812,0.1548
R073,0.348569,0.294625,0.286175,0.317911,0.396932,0.670393,0.343146,0.401562,0.327622,0.304913,0.334885,0.340385,0.350841,0.271686,0.2332
R074,0.353220,0.316228,0.220614,0.260100,0.277288,0.386054,0.367690,0.300725,0.274056,0.329203,0.331297,0.391315,0.246192,0.263331,0.2628
R075,0.387269,0.342446,0.287322,0.333824,0.392184,0.452469,0.477164,0.280036,0.388959,0.306834,0.330801,0.241204,0.427877,0.279646,0.1612
R076,0.241279,0.242619,0.209665,0.199091,0.499481,0.512604,0.470641,0.398366,0.346204,0.363051,0.383718,0.198487,0.383022,0.313802,0.2584
R077,0.251419,0.289831,0.231663,0.353604,0.301111,0.275007,0.334161,0.191305,0.253107,0.447953,0.275599,0.335698,0.273921,0.197744,0.1896
R078,0.358945,0.396083,0.366515,0.306868,0.426130,0.648375,0.405660,0.318608,0.319268,0.329834,0.437714,0.358380,0.395929,0.259264,0.2008
R079,0.226305,0.262086,0.310684,0.308260,0.304145,0.368757,0.354302,0.329967,0.333981,0.440387,0.244333,0.273468,0.331704,0.283186,0.2352
R080,0.399563,0.347148,0.273681,0.342628,0.361527,0.393747,0.330402,0.342655,0.292087,0.311816,0.238158,0.257865,0.437532,0.230662,0.2220
